Title,Abstract
Gut microbiota-derived TMAVA is a modulator of acute CNS-GVHD.,"Acute graft-versus-host disease (aGVHD) can affect the central nervous system       (CNS) through microglial activation and T cell infiltration, but the role of gut       microbiota in CNS-aGVHD remains unclear. Here, we investigated the role of       microbiota in microglial activation during aGVHD using antibiotic-treated       specific pathogen-free (SPF), germ-free (GF), and wildling mice.       Antibiotic-mediated microbiota depletion led to infiltration of IFN-γ-producing T       cells in the brain, activation of microglia via the TLR4/p38 MAPK pathway, and       neurocognitive deficits in SPF aGVHD mice. Microglial depletion reversed the       neurocognitive deficits. GF and wildling mice treated with antibiotics exhibited       similar microglial activation after allogeneic hematopoietic cell transplantation       (allo-HCT). Mechanistically, the bacteria-derived metabolite       N,N,N-trimethyl-5-aminovaleric acid (TMAVA) was decreased in microglia following       antibiotic treatment. TMAVA administration suppressed TLR4/p38 MAPK pathway       activity in microglia and alleviated gut microbiota depletion-mediated       neurocognitive deficits. Additionally, TMAVA abundance decreased in patient blood       after allo-HCT and after GVHD onset. In summary, we identify TMAVA loss as a       central causative factor for CNS-aGVHD, opening new perspectives for a       metabolite-based therapy."
The Role of Intestinal Microbiota in Acute Graft-versus-Host Disease.,"The mammalian intestinal microbiota is a complex ecosystem that plays an       important role in host immune responses. Recent studies have demonstrated that       alterations in intestinal microbiota composition are linked to multiple       inflammatory diseases in humans, including acute graft-versus-host disease       (aGVHD). aGVHD is one of the major obstacles in allogeneic hematopoietic stem       cell transplantation (allo-HSCT), characterized by tissue damage in the       gastrointestinal (GI) tract, liver, lung, and skin. Here, we review the current       understanding of the role of intestinal microbiota in the control of immune       responses during aGVHD. Additionally, the possibility of using probiotic strains       for potential treatment or prevention of aGVHD will be discussed."
[Relationship Between the Change of Microbial Diversity and Gastrointestinal       Graft-Versus-Host Disease Following Allogeneic Hematopoietic Stem Cell       Transplantation].,"OBJECTIVE: To investigate the change of microbial diversity and its relation with       gastrointestinal (GI) graft-versus-host disease (GVHD) following allogeneic       hematopoietic stem cell transplantation (allo-HSCT). METHODS: Fecal samples were       collected at the time point of 2 weeks before transplantation (pre-transplant       group), 1 month after transplantation (post-tranplant group) and onset of GI GVHD       in 65 hematonosis patients, which were also collected in 26 donors and 10 healthy       subjects (control group). 16S rRNA was extracted from fecal microbiotas whose V4       variable region was amplified. The amplification products were sequenced in       Illumina HiSeq 2500 platform, and the sequencing results were analyzed and       compared. RESULTS: The microbial diversity was 5.70（3.74, 10.60）in pre-transplant       group, 7.30（4.89, 11.41）in control group, and the differences between them were       not statistically significant. The microbial diversity was 3.88（2.39, 6.49）in       post-transplant group, lower than that in control group and pre-transplant group.       After transplantation, the microbial diversity was 4.24（2.47, 7.16）in the       patients without GI GVHD, while the microbial diverosity was 2.90 (1.48, 5.64) in       patients subsequently suffered from GI GVHD, but the differences between them       were not statistically significant. The microbial diversity was 2.13（1.76,       3.75）onset of GI GVHD, which was lower than that without GI GVHD. CONCLUSION:       Intestinal microbial diversity decreases after allo-HSCT, and is associated with       with Gl GVHD."
Cell-free DNA profiling informs all major complications of hematopoietic cell       transplantation.,"Allogeneic hematopoietic cell transplantation (HCT) provides effective treatment       for hematologic malignancies and immune disorders. Monitoring of posttransplant       complications is critical, yet current diagnostic options are limited. Here, we       show that cell-free DNA (cfDNA) in blood is a versatile analyte for monitoring of       the most important complications that occur after HCT: graft-versus-host disease       (GVHD), a frequent immune complication of HCT, infection, relapse of underlying       disease, and graft failure. We demonstrate that these therapeutic complications       are informed from a single assay, low-coverage bisulfite sequencing of cfDNA,       followed by disease-specific bioinformatic analyses. To inform GVHD, we profile       cfDNA methylation marks to trace the cfDNA tissues-of-origin and to quantify       tissue-specific injury. To inform infection, we implement metagenomic cfDNA       profiling. To inform cancer relapse, we implement analyses of tumor-specific       genomic aberrations. Finally, to detect graft failure, we quantify the proportion       of donor- and recipient-specific cfDNA. We applied this assay to 170 plasma       samples collected from 27 HCT recipients at predetermined timepoints before and       after allogeneic HCT. We found that the abundance of solid-organ-derived cfDNA in       the blood at 1 mo after HCT is predictive of acute GVHD (area under the curve,       0.88). Metagenomic profiling of cfDNA revealed the frequent occurrence of viral       reactivation in this patient population. The fraction of donor-specific cfDNA was       indicative of relapse and remission, and the fraction of tumor-specific cfDNA was       informative of cancer relapse. This proof-of-principle study shows that cfDNA has       the potential to improve the care of allogeneic HCT recipients by enabling       earlier detection and better prediction of the complex array of complications       that occur after HCT."
Targeting the gut microbiome: An emerging trend in hematopoietic stem cell transplantation,"Mounting evidence has demonstrated the critical role of the gut microbiome in different cancer treatment modalities showing intensive crosstalk between microbiota and the host immune system. In cancer patients receiving hematopoietic stem cell transplantation (HSCT), conditioning regimens including chemotherapy, radiotherapy, and immunosuppressive therapy, as well as antimicrobial prophylaxis, result in intestinal barrier disruption and massive changes in microbiota composition. According to clinical studies, a drastic loss of microbial diversity during HSCT is associated with enhanced pro-inflammatory immune response and an increased risk of transplant-related complications such as graft-versus-host disease (GvHD) and mortality. In this review, we outline the current understanding of the role of microbiota diversity in the patient response to cancer therapies and highlight the impact of changes in the gut microbiome on clinical outcomes in post-HSCT patients. Moreover, the therapeutic implications of microbiota modulation by probiotics, prebiotics, and fecal microbiota transplantation (FMT) in hematologic cancer patients receiving HSCT are discussed."
Targeting the gut microbiome: An emerging trend in hematopoietic stem cell transplantation,
Potential Novel Biomarkers in Chronic Graft-Versus-Host Disease.,"Prognostic, diagnostic or predictive biomarkers are urgently needed for       assessment of chronic graft-versus-host disease (cGvHD), a major risk for       patients undergoing allogeneic hematopoietic stem cell transplantation. The main       goal of this review generated within the COST Action EUROGRAFT ""Integrated       European Network on Chronic Graft Versus Host Disease"" was to identify potential       novel biomarkers for cGvHD besides the widely accepted molecular and cellular       biomarkers. Thus, the focus was on cellular biomarkers, alloantibodies,       glycomics, endothelial derived particles, extracellular vesicles, microbiome,       epigenetic and neurologic changes in cGvHD patients. Both host-reactive       antibodies in general, and particularly alloantibodies have been associated with       cGvHD and require further consideration. Glycans attached to IgG modulate its       activity and represent a promising predictive and/or stratification biomarker for       cGVHD. Furthermore, epigenetic changes such as microRNAs and DNA methylation       represent potential biomarkers for monitoring cGvHD patients and novel targets       for developing new treatment approaches. Finally, the microbiome likely affects       the pathophysiology of cGvHD; bacterial strains as well as microbial metabolites       could display potential biomarkers for dysbiosis and risk for the development of       cGvHD. In summary, although there are no validated biomarkers currently available       for clinical use to better inform on the diagnosis, prognosis or prediction of       outcome for cGvHD, many novel sources of potential markers have shown promise and       warrant further investigation using well characterized, multi-center patient       cohorts."
Lipocalin-2 expression identifies an intestinal regulatory neutrophil population       during acute graft-versus-host disease.,"Acute graft-versus-host disease (aGVHD) is a life-threatening complication of       allogeneic hematopoietic cell transplantation (allo-HCT), for which therapeutic       options are limited. Strategies to promote intestinal tissue tolerance during       aGVHD may improve patient outcomes. Using single-cell RNA sequencing, we       identified a lipocalin-2 (LCN2)-expressing neutrophil population in mice with       intestinal aGVHD. Transfer of LCN2-overexpressing neutrophils or treatment with       recombinant LCN2 reduced aGVHD severity, whereas the lack of epithelial or       hematopoietic LCN2 enhanced aGVHD severity and caused microbiome alterations.       Mechanistically, LCN2 induced insulin-like growth factor 1 receptor (IGF-1R)       signaling in macrophages through the LCN2 receptor SLC22A17, which increased       interleukin-10 (IL-10) production and reduced major histocompatibility complex       class II (MHCII) expression. Transfer of LCN2-pretreated macrophages reduced       aGVHD severity but did not reduce graft-versus-leukemia effects. Furthermore,       LCN2 expression correlated with IL-10 expression in intestinal biopsies in       multiple cohorts of patients with aGVHD, and LCN2 induced IGF-1R signaling in       human macrophages. Collectively, we identified a LCN2-expressing intestinal       neutrophil population that reduced aGVHD severity by decreasing MHCII expression       and increasing IL-10 production in macrophages. This work provides the foundation       for administration of LCN2 as a therapeutic approach for aGVHD."
Gut resistome plasticity in pediatric patients undergoing hematopoietic stem cell       transplantation.,"The gut microbiome of pediatric patients undergoing allo-hematopoietic stem cell       transplantation (HSCT) has recently been considered as a potential reservoir of       antimicrobial resistance, with important implications in terms of patient       mortality rate. By means of shotgun metagenomics, here we explored the dynamics       of the gut resistome - i.e. the pattern of antibiotic resistance genes provided       by the gut microbiome - in eight pediatric patients undergoing HSCT, half of whom       developed acute Graft-versus-Host Disease (aGvHD). According to our findings, the       patients developing aGvHD are characterized by post-HSCT expansion of their gut       resistome, involving the acquisition of new resistances, as well as the       consolidation of those already present before HSCT. Interestingly, the       aGvHD-associated bloom in resistome diversity is not limited to genes coding for       resistance to the antibiotics administered along the therapeutic course, but       rather involves a broad pattern of different resistance classes, including       multidrug resistance, as well as resistance to macrolides, aminoglycosides,       tetracyclines and beta-lactams. Our data stress the relevance of mapping the gut       resistome in HSCT pediatric patients to define the most appropriate       anti-infective treatment post HSCT."
Clinical effects and applications of the gut microbiome in hematologic       malignancies.,"The gut microbiome and its effects on host immunity have exciting implications       for cancer prognosis and therapy. Examples in allogeneic hematopoietic stem cell       transplantation (allo-SCT) demonstrate the role of the gut microbiome as a       biomarker for clinical outcomes, and animal models demonstrate how microbiota       manipulation may augment therapeutic responses. There are multiple mechanisms       that gut microbiota may have in affecting distant tumor environments, including       control of cytokine release, dendritic cell activation, and T-cell lymphocyte       stimulation. Recently, there has been a marked interest in understanding       interactions between host and microbiome in hematologic malignancies. This review       summarizes the current understanding of the gut microbiome and its impact on       leukemia, lymphoma, multiple myeloma, and allo-SCT and highlights several broad       methods for targeting the gut microbiome in therapeutic trials."
