Title,Abstract
Fecal microbiota transplantation in the treatment of intestinal steroid-resistant       graft-versus-host disease: two case reports and a review of the literature.,"Acute graft-versus-host disease (aGvHD) reduces the efficiency and safety of       allogeneic hematopoietic stem cell transplantation (allo-HSCT). In recent years,       attempts have been made to transplant fecal microbiota from healthy donors to       treat intestinal GvHD. This study presented two cases of patients undergoing       allo-HSCT who were later selected for fecal microbiota transplantation (FMT). In       the first patient, FMT resulted in the complete resolution of symptoms, whereas       therapeutic efficacy was not achieved in the second patient. FMT eliminated       drug-resistant pathogens, namely very drug-resistant Enterococcus spp., but not       multidrug-resistant Acinetobacter baumannii or Candida spp. Further research is       needed, particularly on the safety of FMT in patients with intestinal       steroid-resistant GvHD and on the distant impact of transplanted microflora on       the outcomes of allo-HSCT. FMT appears promising for the treatment of patients       with steroid-resistant GvHD."
"Impact of Gut Colonization by Antibiotic-Resistant Bacteria on the Outcomes of       Allogeneic Hematopoietic Stem Cell Transplantation: A Retrospective,       Single-Center Study.","Gut colonization by antibiotic-resistant bacteria may underlie hard-to-treat       systemic infections. There is also accumulating evidence on the immunomodulatory       function of gut microbiota after allogeneic stem cell transplantation (alloSCT)       and its impact on graft-versus-host disease (GVHD). We investigated the       epidemiology and clinical impact of gut colonization after alloSCT and       retrospectively analyzed data on 107 alloSCTs performed at a single transplant       center. Pretransplant microbiology screening identified colonization in 31% of       cases. Colonization had a negative impact on overall survival after alloSCT in       univariate (34% versus 74% at 24 months, P < .001) and multivariate (hazard       ratio, 3.53; 95% confidence interval, 1.71 to 7.28; P < .001) analyses.       Nonrelapse mortality was significantly higher in colonized than in noncolonized       patients (42% versus 11% at 24 months, P = .001). Colonized patients more       frequently experienced bacteremia (48% versus 24%, P = .01), and more deaths were       attributable to infectious causes in the colonized group (42% versus 11% of       patients and 67% versus 29% of deaths, P < .05). We observed a significantly       higher incidence of grades II to IV acute GVHD in colonized than in noncolonized       patients (42% versus 23%, P < .05), especially involving the gastrointestinal       system (33% versus 13.5%, P = .07). In summary, we determined that gut       colonization by antibiotic-resistant bacteria decreases the overall survival of       patients undergoing alloSCT by increasing nonrelapse mortality and the incidences       of systemic infection and acute GVHD."
Circulating microbial cell-free DNA is increased during neutropenia after       hematopoietic stem cell transplantation.,"We used a next-generation sequencing platform to characterize microbial cell-free       DNA (mcfDNA) in plasma samples from patients undergoing allogeneic hematopoietic       stem cell transplantation (allo-HCT). In this observational study, we sought to       characterize plasma mcfDNA in order to explore its potential association with the       immunologic complications of transplantation. We compared serially collected       patient samples with plasma collected from healthy control subjects. We observed       changes in total mcfDNA burden in the plasma after transplantation, which was       most striking during the early posttransplant neutropenic phase. This elevation       could be attributed to a number of specific bacterial taxa, including       Veillonella, Bacteroides, and Prevotella (genus level). For an additional cohort       of patients, we compared the data of mcfDNA from plasma with 16s-ribosomal RNA       sequencing data from stool samples collected at matched time points. In a number       of patients, we confirmed that mcfDNA derived from specific microbial taxa (eg,       Enterococcus) could also be observed in the matched stool sample. Quantification       of mcfDNA may generate novel insights into mechanisms by which the intestinal       microbiome influences systemic cell populations and, thus, has been associated       with outcomes for patients with cancer."
Molecular Biomarkers in Ocular Graft-versus-Host Disease: A Systematic Review.,"Ocular graft-versus-host disease (oGVHD) affects ~50% of post-stem cell       transplant patients and is the only form of GVHD diagnosed without a biopsy. As       it must be distinguished from other dry eye diseases, there is a need to identify       oGVHD biomarkers to improve diagnosis and treatment. We conducted a systematic       review of 19 scholarly articles published from 2018 to 2023 including articles       focused on adult patients diagnosed with oGVHD following allogeneic hematopoietic       stem cell transplant and used biomarkers as the outcome measure. Articles that       were not original investigations or were not published in English were excluded.       These clinical investigations explored different molecular oGVHD biomarkers and       were identified on 3 October 2023 from the Scopus, PubMed, and Embase databases       by using search terms including ocular graft-versus-host disease, biomarkers,       cytokines, proteomics, genomics, immune response, imaging techniques, and       dry-eye-related key terms. The Newcastle-Ottawa scale for case-control studies       was used to assess bias. From the 19 articles included, cytokine, proteomic,       lipid, and leukocyte profiles were studied in tear film, as well as ocular       surface microbiota and fluorescein staining. Our findings suggest that cytokine       profiling is the most studied oGVHD biomarker. Additionally, variations       correlating these biomarkers with disease state may lead to a more targeted       diagnosis and therapeutic approach. Limitations include language bias,       publication bias, and sampling bias, as well as a lack of appropriate controls       for included studies."
What's new in the management of pulmonary complications in allogeneic stem cell       transplantation?,"INTRODUCTION: As survival increases after allogeneic hematopoietic stem cell       transplantation (allo-HCT), several organ complications have emerged, including       those involving the lung, which require a multidisciplinary management approach.       The constant evolution of allo-HCT procedures, advances in diagnostic tools for       infections and pulmonary disease, as well as new treatment approaches, require       frequent updating of knowledge in this field. AREAS COVERED: We review the       multiple infectious and noninfectious lung complications that occur both early       and late after allo-HCT. This includes an updated description of these       complications, risk factors, diagnostic approach and outcome. A literature search       was performed using PubMed-indexed journals. EXPERT OPINION: The diagnosis of       pulmonary complications after allo-HCT remains challenging, further complicated       by the frequent association of co-infections and/or links between infection and       noninfectious complications. The development of metagenomic next-generation       sequencing (mNGS) should enhance the diagnostic yield of bronchoalveolar lavage,       but its clinical relevance remains to be evaluated. A better understanding of the       pathophysiology of the lung chronic graft-versus-host disease (GVHD) and improved       phenotyping are essential for advancing its diagnostic and therapeutic       management. This requires a revision of diagnostic criteria and the       identification of new biomarkers of early disease."
Inflammatory Markers and Microbiome Dysbiosis in Hematopoietic Cell Transplant       Recipients with Lung Graft-versus-Host Disease.,"Bronchiolitis obliterans (BOS) is a manifestation of pulmonary chronic       graft-versus-host disease (cGVHD) and is a devastating complication of allogeneic       hematopoietic stem cell transplantation (HCT). Early detection and treatment of       BOS may improve outcomes, but biomarkers that accurately identify BOS early are       lacking. We aimed to determine whether certain validated cGVHD markers could also       accurately diagnose BOS as compared with patients without BOS and with or without       extrapulmonary cGVHD. In addition, we sought to determine whether dysbiosis of       the gut or oral microbiomes was associated with BOS or with inflammatory       biomarkers. We enrolled 43 recipients of allogeneic HCT, 16 of whom had BOS. For       each patient, we obtained pulmonary function tests, measured the levels of 9       serum biomarkers utilizing enzyme-linked immunosorbent assays, and analyzed both       the oral and gut microbiome using microbial DNA amplification and sequencing. We       compared biomarker levels to lung function, both at baseline and over time, as       well as to microbiome diversity. Higher IL1RL1 (P = .002) and IL-17 (P = .041) at       enrollment were negatively correlated with FEV1% (forced expiratory volume in 1       second) lung function over time. Increases in IL1RL1 (P = .035), IL-17 (P =       .009), and WFDC2 (P = .045) levels over time were associated with worsened lung       function/FEV1% over time. There were minimal correlations between gut microbiome       diversity and lung function or serum biomarkers. Oral microbiome alpha diversity       was lower in subjects with BOS than without (P = .00057), and oral beta diversity       was associated with FEV1% and with levels of several biomarkers. Our pilot study       suggests that certain serum cGVHD markers may identify recipients of allogeneic       HCT at higher risk for pulmonary impairment over time and that these markers       should be followed with robust, controlled studies."
Human Amniotic Membrane-Derived Mesenchymal Stem Cells Prevent Acute       Graft-Versus-Host Disease in an Intestinal Microbiome-Dependent Manner.,"Acute graft-versus-host disease (aGVHD) represents a fatal severe complication       after allogeneic hematopoietic stem cell transplantation. As a promising cell       therapeutic strategy of aGVHD, the mechanism of mesenchymal stem cells (MSC) to       ameliorate aGVHD has not been fully clarified, especially in the field of       intestinal homeostasis including the intestinal microbiome involved in the       pathogenesis of aGVHD. The present study aimed to explore the effect of MSC on       intestinal homeostasis including the intestinal barrier and intestinal microbiome       and its metabolites, as well as the role of intestinal microbiome in the       preventive process of hAMSCs ameliorating aGVHD. The preventive effects of human       amniotic membrane-derived MSC (hAMSCs) was assessed in humanized aGVHD mouse       models. Immunohistochemistry and RT-qPCR were used to evaluate intestinal barrier       function. The 16S rRNA sequencing and targeted metabolomics assay were performed       to observe the alternation of intestinal microbiome and the amounts of       medium-chain fatty acids (MCFAs) and short-chain fatty acids (SCFAs),       respectively. Flow cytometry was performed to analyze the frequencies of T immune       cells. Through animal experiments, we found that hAMSCs had the potential to       prevent aGVHD. HAMSCs could repair the damage of intestinal barrier structure and       function, as well as improve the dysbiosis of intestinal microbiome induced by       aGVHD, and meanwhile, upregulate the concentration of metabolites SCFAs, so as to       reshape intestinal homeostasis. Gut microbiota depletion and fecal microbial       transplantation confirmed the involvement of intestinal microbiome in the       preventive process of hAMSCs on aGVHD. Our findings showed that hAMSCs prevented       aGVHD in an intestinal microbiome-dependent manner, which might shed light on a       new mechanism of hAMSCs inhibiting aGVHD and promote the development of new       prophylaxis regimes for aGVHD prevention."
Human Amniotic Mesenchymal Stem Cells Alleviate aGVHD after allo-HSCT by       Regulating Interactions between Gut Microbiota and Intestinal Immunity.,"Acute graft-versus-host disease (aGVHD) after allogeneic hematopoietic stem cell       transplantation poses one of the most vexing challenges. Gut microbiota dysbiosis       can proceed aGVHD and mesenchymal stem cells (MSCs) have promising therapeutic       potential for aGVHD. However, whether hAMSCs affect the gut microbiota during       aGVHD mitigation remains unknown. Accordingly, we sought to define the effects       and underlying mechanisms of human amniotic membrane-derived MSCs (hAMSCs)       regulating the gut microbiota and intestinal immunity in aGVHD. By establishing       humanized aGVHD mouse models and hAMSCs treatment, we found that hAMSCs       significantly ameliorated aGVHD symptoms, reversed the immune imbalance of T cell       subsets and cytokines, and restored intestinal barrier. Moreover, the diversity       and composition of gut microbiota were improved upon treatment with hAMSCs.       Spearman's correlation analysis showed that there was a correlation between the       gut microbiota and tight junction proteins, immune cells as well as cytokines.       Our research suggested that hAMSCs alleviated aGVHD by promoting gut microbiota       normalization and regulating the interactions between the gut microbiota and       intestinal barrier, immunity."
Precision microbiome reconstitution restores bile acid mediated resistance to Clostridium difficile,"A fraction of the intestinal microbiota as precise as a single bacterial species confers infection resistance by synthesizing Clostridium difficile-inhibiting metabolites from host-derived bile salts. Antibiotic treatment can kill many members of the normal commensal gut microbiota, leaving patients susceptible to intestinal infection. Among infections that can result from antibiotic-mediated commensal flora destruction, Clostridium difficile colitis is one of the most common and difficult to treat. Eric Pamer and colleagues screened the mouse microbiota with a panel of antibiotics and looked for distinct microbiota changes associated with susceptibility to C. difficile. They identified resistance-associated microbiota constituents common to mice and humans, including Clostridium scindens, which they show confers resistance to infection by synthesizing C. difficile-inhibiting metabolites from host-derived bile salts. These findings could point the way towards novel approaches to the treatment and prevention of C. difficile colitis such as replenishment of secondary bile acids or biosynthesis-competent bacteria as adjuncts to faecal microbiota transplants. The gastrointestinal tracts of mammals are colonized by hundreds of microbial species that contribute to health, including colonization resistance against intestinal pathogens1. Many antibiotics destroy intestinal microbial communities and increase susceptibility to intestinal pathogens2. Among these, Clostridium difficile, a major cause of antibiotic-induced diarrhoea, greatly increases morbidity and mortality in hospitalized patients3. Which intestinal bacteria provide resistance to C. difficile infection and their in vivo inhibitory mechanisms remain unclear. Here we correlate loss of specific bacterial taxa with development of infection, by treating mice with different antibiotics that result in distinct microbiota changes and lead to varied susceptibility to C. difficile. Mathematical modelling augmented by analyses of the microbiota of hospitalized patients identifies resistance-associated bacteria common to mice and humans. Using these platforms, we determine that Clostridium scindens, a bile acid 7α-dehydroxylating intestinal bacterium, is associated with resistance to C. difficile infection and, upon administration, enhances resistance to infection in a secondary bile acid dependent fashion. Using a workflow involving mouse models, clinical studies, metagenomic analyses, and mathematical modelling, we identify a probiotic candidate that corrects a clinically relevant microbiome deficiency. These findings have implications for the rational design of targeted antimicrobials as well as microbiome-based diagnostics and therapeutics for individuals at risk of C. difficile infection."
Adverse effects of antibiotics in children with cancer: are short-course       antibiotics for febrile neutropenia part of the solution?,"INTRODUCTION: Febrile neutropenia is a common complication experienced by       children with cancer or those undergoing hematopoietic stem cell transplantation.       Repeated episodes of febrile neutropenia result in cumulative exposure to       broad-spectrum antibiotics with potential for a range of serious adverse effects.       Short-course antibiotics, even in patients with high-risk febrile neutropenia,       may offer a solution. AREAS COVERED: This review addresses the known broad       effects of antibiotics, highlights developments in understanding the relationship       between cancer, antibiotics, and the gut microbiome, and discusses emerging       evidence regarding long-term adverse antibiotic effects. The authors consider       available evidence to guide the duration of empiric antibiotics in pediatric       febrile neutropenia and directions for future research. EXPERT OPINION:       Broad-spectrum antibiotics are associated with antimicrobial resistance,       Clostridioides difficile infection, invasive candidiasis, significant disturbance       of the gut microbiome and may seriously impact outcomes in children with cancer       or undergoing allogenic hematopoietic stem cell transplant. Short-course empiric       antibiotics are likely safe in most children with febrile neutropenia and present       a valuable opportunity to reduce the risks of antibiotic exposure."
